Image;Fichier;Ligne;Fonction
images/webp/20251001_121028.webp;app/templates/home/index.html.twig;351;Information — photographie de l’équipe lors d’un événement
images/webp/APF_nov2025.webp;app/templates/home/index.html.twig;354;Information — photographie d’une activité avec APF France handicap
images/webp/APF_oct2025.webp;app/templates/home/index.html.twig;357;Information — photographie d’un atelier de réalité virtuelle
images/webp/LSCA_mars2025.webp;app/templates/home/index.html.twig;360;Information — photographie d’un atelier de réalité virtuelle
images/webp/LSCA_mars2025-02.webp;app/templates/home/index.html.twig;363;Information — photographie d’un atelier de réalité virtuelle
images/webp/send_money.svg;app/templates/home/index.html.twig;391;Décorative
images/webp/volunteer_activism.svg;app/templates/home/index.html.twig;401;Décorative
images/webp/apf_251112_002.webp;app/templates/home/index.html.twig;414;Information — membre de GNUT 06 aidant une personne en fauteuil roulant
images/webp/[member.image];app/templates/home/index.html.twig;473;Décorative
images/webp/linkedin.svg;app/templates/home/index.html.twig;479;Décorative
cid:logo-new;app/templates/mailjet/contact_tih.html.twig;17;Identification — logo de GNUT 06
images/webp/immersion-2.webp;app/templates/metavers/index.html.twig;210;Décorative
images/webp/handi-3D.png;app/templates/metavers/index.html.twig;228;Information — aperçu du projet Handi-3D
images/webp/avatars.webp;app/templates/metavers/index.html.twig;289;Information — capture de l’interface de création d’avatar
images/webp/hub.webp;app/templates/metavers/index.html.twig;313;Information — capture d’un hub virtuel
images/webp/openspace.webp;app/templates/metavers/index.html.twig;337;Information — capture d’un espace virtuel collaboratif
images/webp/star.svg;app/templates/metavers/index.html.twig;392;Décorative
images/logo_trans_Gnut_06.svg;app/templates/newsletter/confirmation.html.twig;135;Identification — logo de GNUT 06
images/webp/NiceFeteSaRentree.webp;app/templates/nice_fete_sa_rentree/index.html.twig;93;Information — visuel de présentation de l’événement
images/ste-rita_1.png;app/templates/presse/index.html.twig;52;Information — reproduction d’une publication de presse
images/ste-rita_2.png;app/templates/presse/index.html.twig;55;Information — reproduction d’une publication de presse
images/webp/apf_1.webp;app/templates/presse/index.html.twig;117;Information — photographie illustrant l’article de presse
images/webp/apf_2.webp;app/templates/presse/index.html.twig;123;Information — photographie illustrant l’article de presse
images/webp/element-4.svg;app/templates/profil/index.html.twig;59;Décorative
images/webp/cart-frame.svg;app/templates/profil/index.html.twig;74;Décorative
images/webp/cash.svg;app/templates/profil/index.html.twig;89;Décorative
uploads/profilePictures/[user.profilePicture];app/templates/profil/index.html.twig;128;Identification — photo de profil de l’utilisateur
images/user_profil.jpg;app/templates/profil/index.html.twig;159;Information — absence de photo de profil personnalisée
https://www.gnut06.org/images/logo_trans-min.png;app/templates/registration/confirmation_email.html.twig;2;Identification — logo de GNUT 06
https://www.gnut06.org/images/logo_trans-min.png;app/templates/reset_password/email.html.twig;2;Identification — logo de GNUT 06
uploads/tih/[tih.photo];app/templates/tih_search/details.html.twig;26;Identification — photo du profil TIH
images/user_profil.jpg;app/templates/tih_search/details.html.twig;31;Information — absence de photo de profil personnalisée
uploads/tih/[tih.photo];app/templates/tih_search/index.html.twig;242;Identification — photo du profil TIH
images/user_profil.jpg;app/templates/tih_search/index.html.twig;247;Information — absence de photo de profil personnalisée
uploads/tih/[tih.photo];app/templates/tih_search/intranet/details.html.twig;26;Identification — photo du profil TIH
images/user_profil.jpg;app/templates/tih_search/intranet/details.html.twig;31;Information — absence de photo de profil personnalisée
uploads/tih/[tih.photo];app/templates/tih_search/intranet/index.html.twig;242;Identification — photo du profil TIH
images/user_profil.jpg;app/templates/tih_search/intranet/index.html.twig;247;Information — absence de photo de profil personnalisée
